Month_abb	Year	Station	Coordinates	Taxa	Biomass
Mar	2014	BY15	20.05000/57.33333	Diatoms	0.9624478
Mar	2014	BY5	15.98333/55.25000	Diatoms	0.73340186
Mar	2014	BY15	20.05000/57.33333	Dinoflagellates	0.108747
Mar	2014	BY5	15.98333/55.25000	Dinoflagellates	1.2673626500000001
Mar	2014	BY15	20.05000/57.33333	Mesodinium	8.6023075
Mar	2014	BY5	15.98333/55.25000	Mesodinium	12.9024475
Mar	2014	BY15	20.05000/57.33333	Other	1.8606132999999998
Mar	2014	BY5	15.98333/55.25000	Other	3.08981439
Apr	2014	BY15	20.05000/57.33333	Cyanobacteria	0.44968488
Apr	2014	BY5	15.98333/55.25000	Cyanobacteria	0.37242159
Apr	2014	BY15	20.05000/57.33333	Diatoms	13.63948068
Apr	2014	BY5	15.98333/55.25000	Diatoms	0.42982489
Apr	2014	BY15	20.05000/57.33333	Dinoflagellates	73.3956462
Apr	2014	BY5	15.98333/55.25000	Dinoflagellates	2.3851732
Apr	2014	BY15	20.05000/57.33333	Mesodinium	32.357402
Apr	2014	BY5	15.98333/55.25000	Mesodinium	18.299146
Apr	2014	BY15	20.05000/57.33333	Other	0.6097710000000001
Apr	2014	BY5	15.98333/55.25000	Other	0.66862917
Jun	2014	BY15	20.05000/57.33333	Cyanobacteria	3.7130508
Jun	2014	BY5	15.98333/55.25000	Cyanobacteria	4.29273809
Jun	2014	BY15	20.05000/57.33333	Diatoms	0.221172
Jun	2014	BY5	15.98333/55.25000	Diatoms	1.5801213
Jun	2014	BY15	20.05000/57.33333	Dinoflagellates	14.436998000000001
Jun	2014	BY5	15.98333/55.25000	Dinoflagellates	0.893455
Jun	2014	BY15	20.05000/57.33333	Mesodinium	157.362194
Jun	2014	BY5	15.98333/55.25000	Mesodinium	1.9053419999999999
Jun	2014	BY15	20.05000/57.33333	Other	0.15224905
Jun	2014	BY5	15.98333/55.25000	Other	10.487225650000001
Jul	2014	BY15	20.05000/57.33333	Cyanobacteria	56.28362
Jul	2014	BY5	15.98333/55.25000	Cyanobacteria	4.6927411
Jul	2014	BY15	20.05000/57.33333	Diatoms	2.2914548
Jul	2014	BY5	15.98333/55.25000	Diatoms	0.338265
Jul	2014	BY15	20.05000/57.33333	Dinoflagellates	40.8519736
Jul	2014	BY5	15.98333/55.25000	Dinoflagellates	2.180678
Jul	2014	BY15	20.05000/57.33333	Mesodinium	3.73717
Jul	2014	BY5	15.98333/55.25000	Mesodinium	0.934293
Jul	2014	BY15	20.05000/57.33333	Other	15.2278194
Jul	2014	BY5	15.98333/55.25000	Other	19.1892144
Aug	2014	BY15	20.05000/57.33333	Cyanobacteria	49.78306091
Aug	2014	BY5	15.98333/55.25000	Cyanobacteria	0.27261722
Aug	2014	BY15	20.05000/57.33333	Diatoms	0.44844660000000003
Aug	2014	BY5	15.98333/55.25000	Diatoms	0.5714895
Aug	2014	BY15	20.05000/57.33333	Dinoflagellates	16.818826
Aug	2014	BY5	15.98333/55.25000	Dinoflagellates	0.0815604
Aug	2014	BY15	20.05000/57.33333	Mesodinium	0.909425
Aug	2014	BY5	15.98333/55.25000	Mesodinium	3.225668
Aug	2014	BY15	20.05000/57.33333	Other	17.6028785
Aug	2014	BY5	15.98333/55.25000	Other	14.68783363
Sep	2014	BY15	20.05000/57.33333	Diatoms	2.6349077
Sep	2014	BY5	15.98333/55.25000	Diatoms	39.8205619
Sep	2014	BY5	15.98333/55.25000	Dinoflagellates	0.298066
Sep	2014	BY15	20.05000/57.33333	Mesodinium	2.068278
Sep	2014	BY5	15.98333/55.25000	Mesodinium	0.170387
Sep	2014	BY15	20.05000/57.33333	Other	5.529029
Sep	2014	BY5	15.98333/55.25000	Other	2.2113451
Oct	2014	BY15	20.05000/57.33333	Cyanobacteria	0.0121266
Oct	2014	BY15	20.05000/57.33333	Diatoms	3.8830039
Oct	2014	BY5	15.98333/55.25000	Diatoms	12.03087
Oct	2014	BY15	20.05000/57.33333	Dinoflagellates	11.1097908
Oct	2014	BY5	15.98333/55.25000	Dinoflagellates	1.471581
Oct	2014	BY15	20.05000/57.33333	Mesodinium	1.4995
Oct	2014	BY5	15.98333/55.25000	Mesodinium	1.885864
Oct	2014	BY15	20.05000/57.33333	Other	13.658919
Oct	2014	BY5	15.98333/55.25000	Other	7.2402941
Nov	2014	BY15	20.05000/57.33333	Cyanobacteria	0.63334664
Nov	2014	BY15	20.05000/57.33333	Diatoms	19.2844339
Nov	2014	BY5	15.98333/55.25000	Diatoms	55.981244
Nov	2014	BY15	20.05000/57.33333	Dinoflagellates	4.13639
Nov	2014	BY5	15.98333/55.25000	Dinoflagellates	0.480508
Nov	2014	BY15	20.05000/57.33333	Mesodinium	1.935529
Nov	2014	BY5	15.98333/55.25000	Mesodinium	0.13877099999999998
Nov	2014	BY15	20.05000/57.33333	Other	3.55135162
Nov	2014	BY5	15.98333/55.25000	Other	4.9857944
Dec	2014	BY15	20.05000/57.33333	Cyanobacteria	0.00606328
Dec	2014	BY15	20.05000/57.33333	Diatoms	11.9947437
Dec	2014	BY15	20.05000/57.33333	Dinoflagellates	0.137633
Dec	2014	BY15	20.05000/57.33333	Mesodinium	1.111065
Dec	2014	BY15	20.05000/57.33333	Other	0.5561777600000001
